id,ili,wikidata,has_part_candidate
ewn-00004475-n,i35553,http://www.wikidata.org/entity/Q7239,http://www.wikidata.org/entity/Q40397
ewn-00006484-n,i35560,http://www.wikidata.org/entity/Q7868,http://www.wikidata.org/entity/Q88869758
ewn-00006484-n,i35560,http://www.wikidata.org/entity/Q7868,http://www.wikidata.org/entity/Q1126500
ewn-00006484-n,i35560,http://www.wikidata.org/entity/Q7868,http://www.wikidata.org/entity/Q79899
ewn-00006484-n,i35560,http://www.wikidata.org/entity/Q7868,http://www.wikidata.org/entity/Q40260
ewn-00006484-n,i35560,http://www.wikidata.org/entity/Q7868,http://www.wikidata.org/entity/Q45948
ewn-00006484-n,i35560,http://www.wikidata.org/entity/Q7868,http://www.wikidata.org/entity/Q127702
ewn-00007846-n,i35562,http://www.wikidata.org/entity/Q215627,http://www.wikidata.org/entity/Q641118
ewn-00007846-n,i35562,http://www.wikidata.org/entity/Q215627,http://www.wikidata.org/entity/Q23852
ewn-00015568-n,i35563,http://www.wikidata.org/entity/Q729,http://www.wikidata.org/entity/Q23640
ewn-00015568-n,i35563,http://www.wikidata.org/entity/Q729,http://www.wikidata.org/entity/Q27062227
ewn-00477400-n,i37895,http://www.wikidata.org/entity/Q5375,http://www.wikidata.org/entity/Q16859863
ewn-00479273-n,i37904,http://www.wikidata.org/entity/Q2736,http://www.wikidata.org/entity/Q1783939
ewn-00504248-n,i38023,http://www.wikidata.org/entity/Q718,http://www.wikidata.org/entity/Q460711
ewn-00847184-n,i39846,http://www.wikidata.org/entity/Q5043780,http://www.wikidata.org/entity/Q1379223
ewn-01114325-n,i41230,http://www.wikidata.org/entity/Q39809,http://www.wikidata.org/entity/Q3380760
ewn-01302226-n,i42197,http://www.wikidata.org/entity/Q739644,http://www.wikidata.org/entity/Q1538874
ewn-01309790-n,i42227,http://www.wikidata.org/entity/Q124988,http://www.wikidata.org/entity/Q1134649
ewn-01309790-n,i42227,http://www.wikidata.org/entity/Q124988,http://www.wikidata.org/entity/Q179591
ewn-01309790-n,i42227,http://www.wikidata.org/entity/Q124988,http://www.wikidata.org/entity/Q207250
ewn-01309790-n,i42227,http://www.wikidata.org/entity/Q124988,http://www.wikidata.org/entity/Q47196973
ewn-01309790-n,i42227,http://www.wikidata.org/entity/Q124988,http://www.wikidata.org/entity/Q19423165
ewn-01314587-n,i42245,http://www.wikidata.org/entity/Q362,http://www.wikidata.org/entity/Q702449
ewn-01314587-n,i42245,http://www.wikidata.org/entity/Q362,http://www.wikidata.org/entity/Q1753578
ewn-01314587-n,i42245,http://www.wikidata.org/entity/Q362,http://www.wikidata.org/entity/Q207165
