id,ili,wikidata
ewn-00001740-n,i35545,http://www.wikidata.org/entity/Q35120
ewn-00002137-n,i35547,http://www.wikidata.org/entity/Q15619164
ewn-00002684-n,i35549,http://www.wikidata.org/entity/Q223557
ewn-00004475-n,i35553,http://www.wikidata.org/entity/Q7239
ewn-00005787-n,i35554,http://www.wikidata.org/entity/Q182238
ewn-00005930-n,i35555,http://www.wikidata.org/entity/Q2738581
ewn-00006024-n,i35556,http://www.wikidata.org/entity/Q159344
ewn-00006484-n,i35560,http://www.wikidata.org/entity/Q7868
ewn-00007846-n,i35562,http://www.wikidata.org/entity/Q215627
ewn-00015568-n,i35563,http://www.wikidata.org/entity/Q729
ewn-00017402-n,i35564,http://www.wikidata.org/entity/Q131449
ewn-00019226-n,i35565,http://www.wikidata.org/entity/Q2899215
ewn-00021007-n,i35569,http://www.wikidata.org/entity/Q35758
ewn-00021445-n,i35570,http://www.wikidata.org/entity/Q181394
ewn-00022119-n,i35572,http://www.wikidata.org/entity/Q220659
ewn-00023451-n,i35575,http://www.wikidata.org/entity/Q2200417
ewn-00023953-n,i35576,http://www.wikidata.org/entity/Q644302
ewn-00024444-n,i35577,http://www.wikidata.org/entity/Q2722260
ewn-00026390-n,i35579,http://www.wikidata.org/entity/Q205555
ewn-00027365-n,i35580,http://www.wikidata.org/entity/Q2221906
ewn-00028005-n,i35581,http://www.wikidata.org/entity/Q1211071
ewn-00028468-n,i35582,http://www.wikidata.org/entity/Q11471
ewn-00028950-n,i35583,http://www.wikidata.org/entity/Q107
ewn-00029306-n,i35584,http://www.wikidata.org/entity/Q19314
ewn-00029413-n,i35585,http://www.wikidata.org/entity/Q62542
ewn-00033122-n,i35592,http://www.wikidata.org/entity/Q853725
ewn-00033914-n,i35594,http://www.wikidata.org/entity/Q192276
ewn-00034512-n,i35595,http://www.wikidata.org/entity/Q483247
ewn-00035041-n,i35597,http://www.wikidata.org/entity/Q488085
ewn-00035498-n,i35598,http://www.wikidata.org/entity/Q811133
ewn-00035660-n,i35599,http://www.wikidata.org/entity/Q15117556
ewn-00037020-n,i35604,http://www.wikidata.org/entity/Q4875869
ewn-00037727-n,i35607,http://www.wikidata.org/entity/Q938926
ewn-00038116-n,i35610,http://www.wikidata.org/entity/Q3678445
ewn-00038913-n,i35611,http://www.wikidata.org/entity/Q2903161
ewn-00039759-n,i35615,http://www.wikidata.org/entity/Q52948
ewn-00040654-n,i35620,http://www.wikidata.org/entity/Q621694
ewn-00042478-n,i35630,http://www.wikidata.org/entity/Q17116002
ewn-00043933-n,i35636,http://www.wikidata.org/entity/Q753297
ewn-00045638-n,i35642,http://www.wikidata.org/entity/Q1898510
ewn-00045991-n,i35644,http://www.wikidata.org/entity/Q2583685
ewn-00046387-n,i35645,http://www.wikidata.org/entity/Q7856
ewn-00047085-n,i35648,http://www.wikidata.org/entity/Q1758095
ewn-00048097-n,i35652,http://www.wikidata.org/entity/Q1432452
ewn-00048966-n,i35657,http://www.wikidata.org/entity/Q2506273
ewn-00052205-n,i35674,http://www.wikidata.org/entity/Q1331684
ewn-00052345-n,i35675,http://www.wikidata.org/entity/Q7162625
ewn-00052717-n,i35677,http://www.wikidata.org/entity/Q2508647
ewn-00052966-n,i35679,http://www.wikidata.org/entity/Q1974042
ewn-00053154-n,i35680,http://www.wikidata.org/entity/Q844947
ewn-00053320-n,i35681,http://www.wikidata.org/entity/Q17164719
ewn-00053611-n,i35682,http://www.wikidata.org/entity/Q1975745
ewn-00053917-n,i35684,http://www.wikidata.org/entity/Q702380
ewn-00054225-n,i35685,http://www.wikidata.org/entity/Q5502284
ewn-00054733-n,i35689,http://www.wikidata.org/entity/Q1760704
ewn-00055472-n,i35692,http://www.wikidata.org/entity/Q1196254
ewn-00055641-n,i35693,http://www.wikidata.org/entity/Q16251673
ewn-00055858-n,i35694,http://www.wikidata.org/entity/Q655177
ewn-00056135-n,i35696,http://www.wikidata.org/entity/Q22808152
ewn-00056907-n,i35700,http://www.wikidata.org/entity/Q187668
ewn-00057131-n,i35701,http://www.wikidata.org/entity/Q131288
ewn-00057371-n,i35702,http://www.wikidata.org/entity/Q597260
ewn-00058568-n,i35709,http://www.wikidata.org/entity/Q348120
ewn-00058822-n,i35710,http://www.wikidata.org/entity/Q18351973
ewn-00059157-n,i35712,http://www.wikidata.org/entity/Q16775507
ewn-00059428-n,i35714,http://www.wikidata.org/entity/Q2812388
ewn-00060548-n,i35719,http://www.wikidata.org/entity/Q304821
ewn-00060809-n,i35721,http://www.wikidata.org/entity/Q598041
ewn-00061368-n,i35724,http://www.wikidata.org/entity/Q131482
ewn-00061637-n,i35726,http://www.wikidata.org/entity/Q868393
ewn-00062612-n,i35732,http://www.wikidata.org/entity/Q381344
ewn-00062953-n,i35734,http://www.wikidata.org/entity/Q5887
ewn-00063491-n,i35737,http://www.wikidata.org/entity/Q16874480
ewn-00063834-n,i35739,http://www.wikidata.org/entity/Q688615
ewn-00064971-n,i35744,http://www.wikidata.org/entity/Q505119
ewn-00065918-n,i35748,http://www.wikidata.org/entity/Q1975665
ewn-00066675-n,i35753,http://www.wikidata.org/entity/Q782369
ewn-00068527-n,i35763,http://www.wikidata.org/entity/Q3769366
ewn-00068990-n,i35765,http://www.wikidata.org/entity/Q2406791
ewn-00069153-n,i35766,http://www.wikidata.org/entity/Q2292472
ewn-00069437-n,i35767,http://www.wikidata.org/entity/Q1420643
ewn-00069575-n,i35768,http://www.wikidata.org/entity/Q621206
ewn-00069993-n,i35771,http://www.wikidata.org/entity/Q562566
ewn-00070264-n,i35772,http://www.wikidata.org/entity/Q4774631
ewn-00070635-n,i35775,http://www.wikidata.org/entity/Q4959116
ewn-00071785-n,i35783,http://www.wikidata.org/entity/Q29485
ewn-00072520-n,i35785,http://www.wikidata.org/entity/Q1478481
ewn-00073293-n,i35789,http://www.wikidata.org/entity/Q5157911
ewn-00073852-n,i35792,http://www.wikidata.org/entity/Q131536
ewn-00073997-n,i35793,http://www.wikidata.org/entity/Q2145211
ewn-00074345-n,i35794,http://www.wikidata.org/entity/Q3434686
ewn-00074912-n,i35797,http://www.wikidata.org/entity/Q1418757
ewn-00075144-n,i35798,http://www.wikidata.org/entity/Q4567
ewn-00075610-n,i35801,http://www.wikidata.org/entity/Q1930201
ewn-00076103-n,i35802,http://www.wikidata.org/entity/Q1193381
ewn-00076732-n,i35806,http://www.wikidata.org/entity/Q2721589
